OPPONENT,WIN,HOME,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
MTSU,0,1,22-52,8-19,11-13,6,29,35,13,3,2,11,17,63
FAU,1,0,31-57,7-14,6-9,6,33,39,17,7,3,13,10,75
FIU,1,0,21-55,11-29,11-22,10,19,29,14,9,3,13,18,64
SMISS,1,1,29-59,15-34,2-2,6,13,19,21,8,1,12,17,75
LATECH,1,1,20-50,6-24,16-19,9,22,31,11,8,2,18,14,62
WKU,0,0,29-65,8-19,3-3,9,29,38,17,3,3,11,22,69
MARSHALL,0,0,33-74,7-23,5-13,11,36,47,26,6,7,16,15,78
UTEP,1,1,28-63,13-34,9-14,12,18,30,13,5,2,7,16,78
UTSA,0,1,32-66,15-28,3-5,11,25,36,24,10,3,13,17,82
CHARLOTTE,1,0,20-56,9-29,15-26,8,28,36,12,6,2,15,18,64
ODU,1,0,23-56,9-26,10-14,11,23,34,12,7,5,13,14,65
NT,0,1,25-51,6-21,11-19,6,29,35,8,6,3,16,17,67
RICE,1,1,20-58,11-33,5-10,11,23,34,11,9,0,16,18,56
