TEAM,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%
MTSU,75,37,14,6,2,13,.463,.755,.362
FAU,69,38,12,6,4,13,.412,.725,.329
FIU,71,36,12,8,3,11,.427,.593,.328
SMISS,72,30,15,7,2,10,.452,.707,.344
LATECH,77,35,14,6,4,12,.455,.724,.390
WKU,79,36,14,7,4,12,.497,.700,.368
MARSHALL,85,37,17,7,6,14,.468,.758,.351
UTEP,67,33,11,4,3,13,.430,.661,.335
UTSA,80,40,14,7,3,13,.439,.689,.361
CHARLOTTE,71,34,11,5,2,15,.435,.692,.358
ODU,75,38,15,8,4,10,.451,.690,.365
NT,74,38,13,5,3,14,.452,.653,.353
RICE,68,36,12,6,2,15,.410,.673,.325
